,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,XXXX,Adam Port,XXXX,35,475141,2019-05-24,1,0.831,0.621,9,-8.865,0,0.0409,0.0245,0.101,0.0828,0.805,122.014,4,electronic
1,Babayani - Original Mix,Stereo Express,Babayani,34,452683,2019-05-22,1,0.758,0.88,6,-8.114,1,0.0392,0.000541,0.823,0.0462,0.0908,121.009,4,electronic
2,Sleeper,Trentemøller,Sleeper,43,286742,2019-05-24,1,0.378,0.361,0,-16.964,1,0.0351,0.772,0.899,0.111,0.0722,90.01,3,electronic
3,The Morning After,N'to,The Morning After,41,408595,2019-05-24,1,0.879,0.456,9,-9.695,0,0.112,0.00551,0.865,0.0819,0.238,120.991,4,electronic
4,Human,Gui Boratto,Human EP,37,367029,2019-05-24,1,0.831,0.392,9,-11.509,1,0.0381,0.0123,0.845,0.127,0.136,121.996,4,electronic
5,Sirens,Einmusik,Einmusik / D-Nox,33,482024,2019-05-24,1,0.782,0.752,8,-11.035,1,0.0484,0.00713,0.933,0.175,0.186,123.998,3,electronic
6,Bee,Andrew Meller,Bee,27,203393,2019-05-24,1,0.756,0.791,9,-6.582,1,0.0387,3e-05,0.876,0.105,0.32,124.988,4,electronic
7,Olympia,Digitalism,Chapter 4,21,250906,2019-05-24,1,0.85,0.708,9,-10.677,0,0.101,0.0108,0.858,0.108,0.381,125.01,4,electronic
8,Masekela,Tom Demac,Masekela,28,467934,2019-05-24,1,0.653,0.818,1,-9.883,1,0.0359,0.0029,0.859,0.0882,0.354,124.0,4,electronic
9,Pantagruel,Dusty Kid,Kydàios EP,37,376715,2019-05-20,2,0.67,0.902,11,-11.465,0,0.154,0.0617,0.816,0.115,0.242,130.004,4,electronic
10,Eagles,Teho,Eagles,39,307440,2019-05-17,1,0.678,0.728,11,-8.406,0,0.0359,0.00321,0.466,0.189,0.136,121.014,3,electronic
11,Bowie in Harmony,Ellen Allien,Alientronic,50,382531,2019-05-17,3,0.733,0.939,1,-8.823,1,0.0434,0.00381,0.858,0.11,0.0728,129.448,4,electronic
12,Nimbus,Victor Ruiz,Nimbus,49,519934,2019-05-13,1,0.725,0.876,7,-6.749,1,0.0403,7.75e-05,0.929,0.0719,0.0389,127.995,4,electronic
13,Drip Feed,KDA,Drip Feed,29,266919,2019-05-24,1,0.834,0.521,1,-8.365,1,0.089,0.000202,0.727,0.1,0.384,130.002,4,electronic
14,Faded,Marius Drescher,Faded,24,473920,2019-05-20,1,0.793,0.696,9,-8.851,1,0.0425,0.00228,0.887,0.0792,0.13,122.001,4,electronic
15,Ya Know,Mat.Joe,Ya Know,25,332903,2019-05-24,1,0.64,0.86,11,-5.492,0,0.0348,0.00165,0.0429,0.505,0.284,124.01,4,electronic
16,Ryo,Joris Voorn,Ryo,45,389929,2019-05-10,1,0.57,0.779,8,-7.85,1,0.0301,0.00525,0.891,0.367,0.206,126.015,4,electronic
17,Flying Lizard,Acid Pauli,Flying Lizard,45,447355,2019-05-10,1,0.807,0.934,1,-10.587,0,0.0576,0.00019,0.92,0.109,0.285,123.006,4,electronic
18,Starck,DJ Tennis,Gordon Starck,39,415183,2019-05-17,3,0.686,0.939,10,-9.164,0,0.0419,0.00265,0.906,0.201,0.369,122.968,4,electronic
