,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Ela É do Tipo,MC Kevin o Chris,Ela É do Tipo,83,204930,2019-03-07,1,0.632,0.398,6,-6.615,1,0.373,0.945,0.0,0.228,0.633,90.695,4,funk
1,Vai menina,Pedro Sampaio,Vai menina,76,122435,2019-01-25,1,0.795,0.878,1,-3.261,0,0.278,0.413,0.0,0.0968,0.963,149.971,4,funk
2,Não sou obrigada,Mc Pocahontas,Não sou obrigada,76,148340,2019-03-29,1,0.819,0.951,6,-2.896,0,0.141,0.356,0.0,0.145,0.963,153.963,4,funk
3,Evoluiu,MC Kevin o Chris,Evoluiu,77,179644,2019-03-15,1,0.776,0.465,7,-6.368,0,0.434,0.466,0.0,0.363,0.694,149.829,4,funk
4,Senta braba,MC WM,Senta braba,72,149615,2019-02-08,1,0.876,0.724,7,-2.915,1,0.0955,0.228,0.000655,0.104,0.789,100.021,4,funk
5,Bye Bye,Mc Don Juan,Bye Bye,75,184615,2019-03-11,1,0.655,0.34,10,-6.834,1,0.358,0.332,8.73e-05,0.106,0.24,90.67,5,funk
6,Hoje Eu Vou Parar Na Gaiola,Mc Livinho,Hoje Eu Vou Parar Na Gaiola,77,177093,2018-10-17,1,0.65,0.361,2,-7.153,1,0.404,0.0331,0.0,0.0978,0.844,89.803,4,funk
7,Bola Rebola,Tropkillaz,Bola Rebola,83,193440,2019-02-22,1,0.834,0.777,5,-4.538,0,0.0593,0.22,0.00609,0.335,0.865,129.984,4,funk
8,Facilita,MC Kevinho,Facilita,75,158769,2019-03-22,1,0.894,0.551,1,-5.081,1,0.188,0.0509,0.0,0.106,0.779,130.017,4,funk
9,Vamos pra Gaiola,MC Kevin o Chris,Vamos pra Gaiola,78,161600,2019-01-11,1,0.872,0.971,6,-5.576,1,0.281,0.917,0.00143,0.121,0.521,149.987,4,funk
10,Coisa Boa,Gloria Groove,Coisa Boa,74,165600,2019-01-10,1,0.692,0.973,11,-1.154,1,0.202,0.516,0.0,0.071,0.568,100.292,5,funk
11,Onda diferente (feat. Papatinho),Anitta,Kisses,79,160900,2019-04-05,3,0.705,0.721,1,-5.545,0,0.514,0.333,0.0,0.101,0.574,75.132,4,funk
12,Quando a vontade bater (Participação especial de PK Delas),Pk,Quando a vontade bater (Participação especial de PK Delas),77,166400,2019-03-04,1,0.621,0.7,8,-5.502,1,0.247,0.539,0.0,0.152,0.704,149.902,4,funk
13,É rave que fala né,MC Hollywood,É rave que fala né,69,169769,2019-02-22,1,0.655,0.726,1,-6.687,1,0.313,0.233,8.49e-06,0.0846,0.381,149.919,4,funk
14,Só Depois do Carnaval,Lexa,Só Depois do Carnaval,73,166666,2019-01-31,1,0.833,0.917,8,-3.189,0,0.0752,0.388,2.39e-05,0.293,0.882,143.986,4,funk
15,"Garupa, Pt. 2",Dj Henrique de ferraz,"Garupa, Pt. 2",71,142499,2019-03-18,1,0.947,0.921,7,-2.988,1,0.378,0.705,0.0035,0.0621,0.738,130.022,4,funk
16,To Gostando Tanto de Você,Mc Don Juan,To Gostando Tanto de Você,72,158383,2018-09-14,1,0.869,0.681,8,-1.796,1,0.0941,0.481,0.0,0.457,0.905,133.939,4,funk
17,Parado no Bailão,MC L da Vinte,Parado no Bailão,74,171692,2018-07-23,1,0.828,0.599,11,-1.624,1,0.149,0.381,0.0,0.0775,0.478,86.533,5,funk
18,Favela chegou - Ao vivo,Ludmilla,Favela chegou (Ao vivo),76,169954,2019-02-27,1,0.606,0.877,1,-10.087,0,0.0735,0.495,0.00177,0.958,0.767,150.045,4,funk
19,Dentro do Carro,MC Kevin o Chris,Dentro do Carro,71,226847,2018-09-24,1,0.848,0.896,4,-8.107,0,0.213,0.793,0.0418,0.1,0.727,150.064,4,funk
20,Se Você Quiser Lazer,Dj Gabriel do Borel,Se Você Quiser Lazer,55,140800,2019-05-10,1,0.771,0.987,6,-2.304,1,0.145,0.0555,9.51e-05,0.083,0.402,150.24,4,funk
21,Amor Bandido,Lexa,Amor Bandido,64,208000,2019-04-26,1,0.715,0.537,1,-6.558,1,0.0285,0.589,0.0,0.132,0.455,100.028,4,funk
22,Agora é Tudo Meu,Dennis DJ,Agora é Tudo Meu,77,171998,2018-12-07,1,0.848,0.933,5,-3.306,0,0.106,0.7,2.81e-06,0.184,0.506,139.998,4,funk
23,Sapequinha,Lexa,Sapequinha,72,134106,2018-08-03,1,0.677,0.984,11,-3.539,0,0.286,0.211,0.0,0.0632,0.906,150.086,4,funk
24,Quer mais?,Mc Pocahontas,Quer mais?,71,175061,2018-11-01,1,0.826,0.791,0,-4.605,0,0.0806,0.193,8.6e-05,0.0533,0.344,150.026,4,funk
25,Sexta Do Mal,Mc Zaac,Sexta Do Mal,67,207768,2018-12-07,1,0.893,0.567,6,-2.417,1,0.11,0.341,4.61e-05,0.268,0.815,133.077,4,funk
26,Medley da Gaiola - Dennis DJ Remix,MC Kevin o Chris,Medley da Gaiola (Dennis DJ Remix),73,239999,2018-08-27,1,0.897,0.757,4,-5.243,0,0.236,0.702,0.0,0.0779,0.613,140.038,4,funk
27,Nego Ney,Dj Lindão,Nego Ney,64,178128,2019-03-22,1,0.804,0.911,7,-4.119,1,0.532,0.649,0.264,0.0646,0.79,77.387,4,funk
