,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,In The Dark,YG,4REAL 4REAL,68,191813,2019-05-24,3,0.724,0.257,10,-8.136,1,0.525,0.00427,0.0166,0.105,0.0558,203.932,4,hip hop
1,The London (feat. J. Cole & Travis Scott),Young Thug,The London (feat. J. Cole & Travis Scott),80,200106,2019-05-23,1,0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981,4,hip hop
2,Wish Wish (feat. Cardi B & 21 Savage),DJ Khaled,Father Of Asahd,73,202625,2019-05-17,2,0.861,0.666,8,-5.18,0,0.343,0.00218,0.0,0.272,0.853,145.041,4,hip hop
3,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,Hoodie SZN,91,189486,2018-12-21,4,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,4,hip hop
4,Homicide (feat. Eminem),Logic,Confessions of a Dangerous Mind,80,245386,2019-05-10,2,0.694,0.759,10,-5.667,0,0.398,0.137,0.0,0.167,0.77,140.055,4,hip hop
5,Going Bad (feat. Drake),Meek Mill,Championships,89,180522,2018-11-30,9,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,4,hip hop
6,Slide (feat. Blueface & Lil Tjay),French Montana,Slide (feat. Blueface & Lil Tjay),79,186344,2019-04-16,1,0.532,0.704,5,-3.895,0,0.26,0.093,0.0,0.184,0.591,96.004,4,hip hop
7,Sanguine Paradise,Lil Uzi Vert,Sanguine Paradise,88,243976,2019-04-09,1,0.729,0.603,6,-6.736,0,0.0666,0.0948,0.0,0.113,0.207,134.972,4,hip hop
8,All These Bandz (feat. Tory Lanez),PnB Rock,TrapStar Turnt PopStar,67,184328,2019-05-03,3,0.715,0.788,11,-4.529,1,0.246,0.0329,0.0,0.162,0.643,157.958,3,hip hop
9,Clout (feat. Cardi B),Offset,FATHER OF 4,84,205803,2019-02-22,12,0.919,0.622,1,-7.384,1,0.0997,0.228,4.24e-06,0.122,0.424,140.022,4,hip hop
10,Style Ain’t Free (feat. Offset),Moneybagg Yo,43VA HEARTLESS,60,155283,2019-05-24,7,0.909,0.828,11,-4.23,1,0.284,0.0111,0.0,0.28,0.62,129.966,4,hip hop
11,Goddamn,Tyga,Goddamn,81,159219,2019-04-15,1,0.963,0.552,0,-6.118,0,0.22,0.065,0.0,0.112,0.457,105.036,4,hip hop
12,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",DJ Snake,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",78,248043,2019-04-24,1,0.787,0.728,2,-4.049,1,0.0417,0.0902,0.0,0.316,0.198,119.945,4,hip hop
13,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),83,233277,2019-02-15,1,0.671,0.833,5,-5.152,0,0.395,0.0825,0.0,0.0726,0.702,79.351,4,hip hop
14,Freaky,Tory Lanez,Freaky,83,173926,2019-03-15,1,0.966,0.563,8,-5.764,1,0.0618,0.00202,0.0,0.105,0.363,104.991,4,hip hop
15,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",Mustard,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",75,179387,2019-05-10,1,0.871,0.493,9,-6.775,1,0.338,0.0104,0.0,0.0917,0.157,93.016,4,hip hop
16,Price On My Head (feat. The Weeknd),NAV,Bad Habits,60,217775,2019-03-22,6,0.768,0.574,6,-6.104,0,0.136,0.384,1.65e-05,0.336,0.278,74.949,4,hip hop
17,Higher (feat. Nipsey Hussle & John Legend),DJ Khaled,Father Of Asahd,72,176874,2019-05-17,7,0.351,0.956,7,-1.996,1,0.245,0.0949,0.0,0.226,0.446,83.655,4,hip hop
18,Old Town Road,Lil Nas X,Old Town Road,78,113013,2019-04-05,2,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,4,hip hop
19,Mercedes,BlocBoy JB,Mercedes,53,121738,2019-05-24,1,0.864,0.608,1,-5.771,1,0.34,0.055,0.0,0.0904,0.884,145.895,4,hip hop
