,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Friday I'm In Love,The Cure,Wish,73,215160,1992-01-01,7,0.543,0.742,0,-12.613,0,0.0357,0.00144,6.66e-05,0.375,0.529,136.211,4,alternative
1,There She Goes,The La's,The La's,67,162186,1990,5,0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,4,alternative
2,1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),74,266200,1995,5,0.765,0.788,3,-9.896,1,0.0332,0.0166,0.588,0.0513,0.964,126.879,4,alternative
3,Linger,The Cranberries,"Everybody Else Is Doing It, So Why Can't We? (The Complete Sessions 1991-1993)",20,274760,1993-03-01,7,0.438,0.428,7,-14.861,1,0.0263,0.0841,4.63e-05,0.138,0.209,94.864,4,alternative
4,Tender,Blur,13,60,461946,1998-03-15,1,0.587,0.566,9,-9.932,1,0.0276,0.47,0.0,0.0644,0.529,76.054,4,alternative
5,Creep,Radiohead,Pablo Honey,80,238640,1993-02-22,2,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,4,alternative
6,Motorcycle Emptiness,Manic Street Preachers,Forever Delayed,61,305706,2002-10-28,2,0.522,0.799,4,-3.641,1,0.0301,8.38e-06,0.0659,0.174,0.196,112.448,4,alternative
7,Live Forever,Oasis,Definitely Maybe,13,276866,1994-08-29,3,0.263,0.778,9,-5.418,0,0.0334,1.23e-05,7.64e-06,0.375,0.203,90.512,4,alternative
8,Common People,Pulp,Different Class / Deluxe Edition,15,350373,1995-10-30,3,0.319,0.839,0,-7.341,1,0.0404,0.00596,7.99e-05,0.0764,0.538,144.938,4,alternative
9,No Rain,Blind Melon,Blind Melon,73,217106,1992-01-01,7,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,4,alternative
10,Karma Police,Radiohead,OK Computer,73,264066,1997-05-28,6,0.36,0.505,7,-9.129,1,0.026,0.0626,9.22e-05,0.172,0.317,74.807,4,alternative
11,Laid,James,James: The Best Of,13,156866,1998-01-01,4,0.488,0.968,0,-5.705,1,0.0375,0.0207,0.000124,0.148,0.584,116.223,4,alternative
12,A Letter To Elise,The Cure,Wish,52,312240,1992-01-01,9,0.53,0.592,9,-13.444,1,0.0309,0.189,0.00174,0.198,0.795,150.224,4,alternative
13,Babies,Pulp,His 'N' Hers,9,244826,1994-04-18,5,0.299,0.818,2,-7.942,1,0.0649,0.113,2.46e-06,0.0827,0.604,156.193,4,alternative
14,The Boy With the Arab Strap,Belle & Sebastian,The Boy With the Arab Strap,53,314066,1998-09-07,9,0.577,0.828,7,-9.805,1,0.0556,0.358,0.013,0.0683,0.706,142.365,4,alternative
15,Love Spreads,The Stone Roses,Second Coming,8,347093,1994-12-05,12,0.417,0.877,2,-8.422,1,0.0495,0.00258,0.00165,0.398,0.593,91.578,4,alternative
16,Where Is My Mind?,Pixies,Surfer Rosa (Remastered),72,236973,1988,7,0.523,0.442,4,-14.121,1,0.0347,0.0189,0.000494,0.0784,0.277,81.083,4,alternative
17,Movin' on Up,Primal Scream,Dirty Hits - Limited Edition,47,224586,2003,2,0.525,0.921,5,-5.7,1,0.0361,0.102,0.00111,0.07,0.493,94.274,4,alternative
18,Regret - 2015 Remaster,New Order,Republic,56,248973,1993-05-03,1,0.506,0.931,5,-5.635,1,0.0305,0.00146,0.0227,0.27,0.865,129.568,4,alternative
19,Bitter Sweet Symphony,The Verve,Urban Hymns,28,358426,1997-09-29,1,0.389,0.889,9,-6.546,1,0.0442,0.0415,0.0,0.463,0.524,171.121,4,alternative
20,Vapour Trail,Ride,Nowhere (Remastered),39,258173,1990-10-15,8,0.396,0.79,4,-6.182,1,0.0306,0.000674,0.798,0.092,0.461,107.524,4,alternative
21,Waltz #2 (XO),Elliott Smith,XO,55,280106,1998-01-01,3,0.633,0.49,10,-7.668,1,0.0255,0.395,6.92e-05,0.0886,0.66,132.178,3,alternative
22,Ladies and Gentlemen We Are Floating in Space,Spiritualized,Ladies & Gentlemen We Are Floating In Space,48,234053,1997-06-16,1,0.378,0.409,2,-11.468,1,0.0337,0.753,0.000528,0.234,0.184,100.087,3,alternative
23,No Surprises,Radiohead,OK Computer,70,229120,1997-05-28,10,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4,alternative
24,Black Hole Sun,Soundgarden,Superunknown,47,318000,1994-01-01,7,0.362,0.701,6,-8.401,1,0.0378,0.000258,7.79e-05,0.0727,0.191,105.743,4,alternative
25,Into My Arms,Nick Cave & The Bad Seeds,The Boatman's Call (Remastered),14,256120,1997-03-03,1,0.484,0.0874,0,-17.796,1,0.0394,0.894,0.154,0.11,0.219,94.163,4,alternative
26,Let's Get Together (In Our Minds),Gorky's Zygotic Mynci,Gorky 5,39,195960,1998-01-01,3,0.237,0.553,9,-5.271,0,0.0323,0.436,0.000109,0.0962,0.336,190.709,3,alternative
27,The Drugs Don't Work,The Verve,Urban Hymns,10,305066,1997-09-29,4,0.44,0.498,0,-9.788,1,0.0264,0.229,0.0,0.173,0.157,77.368,4,alternative
28,The First Of The Gang To Die,Morrissey,You Are The Quarry,57,218586,2004-01-01,8,0.533,0.915,11,-4.241,1,0.0365,0.0117,0.0,0.122,0.813,134.297,4,alternative
29,Chasing Rainbows,Shed Seven,Let It Ride,7,265133,1998-01-01,10,0.202,0.853,4,-6.326,1,0.0475,0.0245,9.5e-05,0.143,0.37,100.625,4,alternative
30,Something Changed,Pulp,Different Class,53,198600,1995-10-30,7,0.528,0.686,7,-8.358,1,0.0309,0.0258,0.0149,0.357,0.433,120.557,4,alternative
31,Corpses In Their Mouths,Ian Brown,Unfinished Monkey Business,47,249266,1998,7,0.779,0.529,10,-12.243,0,0.0382,0.00557,0.0943,0.11,0.917,108.804,4,alternative
32,Range Life,Pavement,Crooked Rain Crooked Rain,50,294760,1994,9,0.556,0.726,9,-9.408,1,0.0291,0.0389,1.86e-05,0.12,0.721,112.803,4,alternative
33,Shiny Happy People,R.E.M.,Out Of Time (25th Anniversary Edition),69,225786,1991-03-12,6,0.454,0.901,9,-3.961,1,0.0351,0.0338,0.0599,0.198,0.788,124.56,4,alternative
34,The Universal,Blur,Blur: The Best Of,54,240120,2000-10-23,4,0.317,0.571,9,-7.669,1,0.0283,0.158,2.95e-06,0.0848,0.234,163.036,3,alternative
35,Alive,Pearl Jam,Ten,75,340907,1991-08-27,3,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,4,alternative
36,Buddy Holly,Weezer,Weezer (Deluxe Edition),12,159586,1994-05-10,4,0.536,0.932,8,-4.11,1,0.0436,0.00483,2.02e-05,0.105,0.755,121.004,4,alternative
37,The Wild Ones (Remastered),Suede,Dog Man Star (Remastered),47,290293,1994-10-10,4,0.449,0.56,3,-8.907,1,0.0268,0.55,0.000111,0.0536,0.351,84.689,4,alternative
38,Girl From Mars,Ash,The Best Of Ash (Remastered Version),56,213533,1995-07-31,1,0.236,0.797,9,-6.949,1,0.0447,0.0186,0.0,0.11,0.477,154.336,4,alternative
39,Slight Return,The Bluetones,The Bluetones Collection,45,200413,2008-01-01,1,0.426,0.878,2,-8.274,1,0.0388,0.0237,0.000118,0.173,0.65,102.818,4,alternative
40,The Only One I Know,The Charlatans,Some Friendly,59,238120,1990-10-08,3,0.543,0.572,5,-13.124,1,0.0317,0.0685,0.00119,0.0823,0.533,113.312,4,alternative
41,Beetlebum - 2012 Remastered Version,Blur,Blur [Special Edition],55,305213,1997-02-10,1,0.542,0.626,0,-7.105,1,0.0242,0.0789,0.000508,0.277,0.813,89.734,4,alternative
42,Walkaway,Cast,All Change,51,231733,1995-01-01,9,0.467,0.481,11,-10.17,1,0.0233,0.034,0.0102,0.106,0.328,80.043,4,alternative
43,Here's Where The Story Ends,The Sundays,"Reading, Writing & Arithmetic",47,234906,1990-01-01,2,0.625,0.593,7,-10.926,1,0.028,0.288,1.11e-06,0.0721,0.835,109.048,4,alternative
44,Man On The Moon,R.E.M.,Automatic For The People,66,314173,1992-01-01,10,0.667,0.699,7,-7.574,1,0.026,0.42,0.000442,0.201,0.655,118.567,4,alternative
45,Goddess On A Hiway - Remastered,Mercury Rev,Deserter's Songs,50,225333,1998,8,0.467,0.761,9,-5.893,1,0.0386,0.0186,1.25e-06,0.0666,0.257,145.241,4,alternative
46,Alright,Supergrass,I Should Coco,71,180880,1995-05-15,4,0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,4,alternative
47,End of a Century - 2012 Remaster,Blur,Parklife,48,165840,1994-04-25,3,0.446,0.686,7,-7.348,1,0.0303,0.211,0.0,0.205,0.493,80.571,4,alternative
48,Malibu,Hole,Celebrity Skin,59,230040,1998-01-01,4,0.528,0.904,2,-5.854,1,0.0343,0.000833,0.0,0.174,0.678,122.371,4,alternative
49,Autumn Sweater,Yo La Tengo,I Can Hear the Heart Beating As One,60,318373,1997-04-22,8,0.628,0.455,7,-12.436,1,0.0427,0.141,0.693,0.135,0.858,102.09,4,alternative
50,Novocaine For The Soul,Eels,Beautiful Freak,52,188693,1996-01-01,1,0.41,0.725,6,-7.784,1,0.0394,0.000788,0.0761,0.0905,0.314,169.184,4,alternative
51,Interstate Love Song,Stone Temple Pilots,Purple,71,193613,1994-06-07,4,0.214,0.947,4,-5.053,1,0.0507,0.000552,0.00352,0.238,0.483,170.616,4,alternative
52,One To Another,The Charlatans,Tellin' Stories,16,269840,1997-04-21,4,0.445,0.887,10,-5.121,1,0.0463,0.000242,8.94e-05,0.456,0.332,102.441,4,alternative
53,Race For The Prize,The Flaming Lips,The Soft Bulletin,7,258333,1999-05-17,13,0.37,0.946,0,-3.849,1,0.0765,0.000206,0.0204,0.315,0.387,130.556,4,alternative
54,Say It Ain't So,Weezer,Weezer (Deluxe Edition),55,256880,1994-05-10,14,0.635,0.435,3,-7.521,1,0.031,0.00328,6.78e-06,0.071,0.459,76.098,4,alternative
55,Susan's House,Eels,Beautiful Freak,5,223800,1996-01-01,2,0.736,0.439,3,-11.845,1,0.0396,0.222,0.218,0.31,0.432,80.493,4,alternative
56,Just,Radiohead,The Bends,60,234800,1995-03-28,7,0.291,0.767,7,-6.913,0,0.0862,0.000401,0.0119,0.0763,0.358,175.699,4,alternative
57,Grace,Jeff Buckley,Grace (Legacy Edition),56,322146,1994,2,0.546,0.865,2,-5.704,1,0.0455,0.113,3.08e-05,0.246,0.239,128.014,4,alternative
58,You Get What You Give,New Radicals,Maybe You've Been Brainwashed Too,74,300773,1998-01-01,2,0.618,0.896,2,-5.357,1,0.0307,0.171,0.0,0.0875,0.711,113.961,4,alternative
59,Dry The Rain (Remaster),The Beta Band,Dry the Rain (Remaster),42,363538,2018-07-27,1,0.593,0.693,4,-8.576,1,0.0305,0.0283,0.084,0.172,0.749,150.489,4,alternative
60,History - Remastered 2016,The Verve,A Northern Soul (2016 Remastered / Deluxe),52,326093,1995,8,0.338,0.638,2,-7.989,1,0.0332,0.105,0.0,0.102,0.113,133.99,4,alternative
61,Birdhouse in Your Soul,They Might Be Giants,Flood,56,198920,1990-01-02,2,0.61,0.819,8,-8.323,1,0.0666,0.00381,7.92e-06,0.285,0.454,100.057,4,alternative
62,Disco 2000,Pulp,Different Class,64,273573,1995-10-30,5,0.562,0.894,7,-7.524,0,0.0667,0.0156,0.0,0.0529,0.578,133.169,4,alternative
63,It's A Shame About Ray,The Lemonheads,It's A Shame About Ray [Expanded Edition],6,187040,1992-06-02,3,0.645,0.792,9,-8.671,1,0.0304,0.00164,0.000126,0.0799,0.705,131.388,4,alternative
64,The Day We Caught The Train,Ocean Colour Scene,Songs For The Front Row - The Best Of Ocean Colour Scene,53,191640,2001-01-01,2,0.521,0.727,2,-6.193,1,0.0388,0.0876,0.0,0.237,0.566,88.983,4,alternative
65,Sit Down,James,Gold Mother,14,244866,1990,7,0.561,0.706,9,-9.446,1,0.029,0.00263,0.00125,0.122,0.569,126.077,4,alternative
66,Baby Britain,Elliott Smith,XO,49,193760,1998-01-01,4,0.682,0.444,7,-8.716,1,0.0327,0.571,0.0,0.11,0.572,119.547,4,alternative
67,Rock ‘n’ Roll Star - Remastered,Oasis,Definitely Maybe (Remastered) [Deluxe Edition Remastered],56,322946,1994-08-29,1,0.314,0.972,4,-3.21,1,0.0701,0.000421,0.00129,0.407,0.447,138.223,4,alternative
68,Lost Myself,Longpigs,The Sun Is Often Out,41,304466,1996-01-01,1,0.332,0.655,9,-6.731,1,0.0372,0.0251,0.000115,0.12,0.293,146.376,4,alternative
69,Marbles,Tindersticks,The First Tindersticks Album,5,269866,1993-01-01,8,0.49,0.521,2,-9.601,1,0.0295,0.0934,0.862,0.266,0.148,107.778,4,alternative
70,Born Of Frustration,James,James: The Best Of,51,276600,1998-01-01,7,0.522,0.93,10,-4.241,1,0.0437,0.0356,1.04e-06,0.522,0.291,111.011,4,alternative
71,Road Rage,Catatonia,International Velvet,54,308386,1998,4,0.495,0.594,8,-6.447,1,0.0291,0.0178,0.000243,0.215,0.428,93.445,4,alternative
72,Losing My Religion,R.E.M.,Out Of Time,17,268933,1991-03-12,2,0.7,0.686,9,-10.338,0,0.0279,0.0943,1.93e-06,0.0847,0.815,125.412,4,alternative
73,All You Good Good People,Embrace,The Good Will Out,48,364646,1998-01-01,2,0.232,0.719,11,-6.255,1,0.0428,0.000118,0.000226,0.119,0.323,165.906,4,alternative
74,Yes - Full Version,McAlmont & Butler,The Sound Of McAlmont And Butler,46,293893,1995-01-01,1,0.422,0.776,5,-7.127,1,0.0381,0.0244,0.0,0.143,0.405,109.796,4,alternative
75,A Design for Life - Remastered,Manic Street Preachers,Everything Must Go 10th Anniversary Edition,56,257640,1996-05-20,2,0.184,0.841,0,-4.723,1,0.0468,0.000827,4.34e-05,0.0422,0.348,88.225,4,alternative
76,The Riverboat Song,Ocean Colour Scene,Songs For The Front Row - The Best Of Ocean Colour Scene,48,298640,2001-01-01,1,0.478,0.862,11,-5.513,0,0.0269,0.00942,1.28e-05,0.0756,0.608,106.295,3,alternative
77,Kelly's Heroes,Black Grape,It's Great When You're Straight ... Yeah,35,262506,1995-01-01,4,0.632,0.934,7,-5.158,1,0.06,0.00083,0.00511,0.0845,0.88,119.719,4,alternative
78,She Said,Longpigs,The Sun Is Often Out,45,264066,1996-01-01,2,0.21,0.87,5,-5.985,1,0.0606,0.000147,0.000488,0.188,0.517,168.352,4,alternative
79,Let Forever Be,The Chemical Brothers,Surrender,53,236360,1999-01-01,5,0.252,0.872,8,-3.752,1,0.0777,0.00912,8.79e-06,0.109,0.399,126.938,4,alternative
80,Naive,The Kooks,Inside In / Inside Out,73,203506,2006-01-01,9,0.391,0.808,8,-6.209,0,0.0892,0.0759,0.0,0.149,0.737,100.304,4,alternative
81,Golden Touch - Full Length,Razorlight,Up All Night,62,205213,2004,8,0.606,0.532,1,-4.173,0,0.0248,0.0956,1.27e-05,0.276,0.695,95.315,4,alternative
82,Last Nite,The Strokes,Is This It,70,193506,2001-07-25,7,0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042,4,alternative
83,All My Friends - Edit,LCD Soundsystem,All My Friends,49,366841,2007-05-18,1,0.675,0.92,9,-3.823,1,0.0343,0.0818,0.432,0.14,0.936,142.599,4,alternative
84,A-Punk,Vampire Weekend,Vampire Weekend,69,137760,2008-01-27,3,0.551,0.821,2,-4.489,1,0.0539,0.0102,0.0438,0.153,0.842,174.923,4,alternative
85,She Moves In Her Own Way,The Kooks,Inside In / Inside Out,70,169306,2006-01-01,7,0.41,0.803,7,-5.363,1,0.0623,0.239,0.0,0.103,0.814,153.315,4,alternative
86,Mr. Brightside,The Killers,Hot Fuss,20,222075,2004-01-01,2,0.351,0.928,1,-3.71,1,0.0759,0.00113,0.0,0.0988,0.239,148.03,4,alternative
87,Someday,The Strokes,Is This It,63,183573,2001-07-25,5,0.542,0.531,9,-7.481,1,0.0301,0.0033,1.51e-06,0.338,0.671,105.97,4,alternative
