,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Full Moon - Day 3,Ludovico Einaudi,Seven Days Walking (Day 3),58,218680,2019-05-17,9,0.169,0.0156,0,-35.316,0,0.0428,0.993,0.973,0.0953,0.0868,101.177,4,classical
1,"Violin Sonata No. 4 in A Minor, Op. 23: III. Allegro molto",Ludwig van Beethoven,Beethoven: Violin Sonatas Nos. 4 & 9,35,336060,2019-05-24,3,0.352,0.15,9,-18.498,0,0.0473,0.942,0.0298,0.108,0.144,140.334,4,classical
2,"Hedwig's Theme - From ""Harry Potter And The Philosopher's Stone"" / Single Version",John Williams,Hedwig's Theme,54,239916,2019-05-10,1,0.36,0.208,4,-17.094,0,0.0524,0.922,0.229,0.48,0.168,148.347,4,classical
3,Light of the Seven,Ramin Djawadi,Game of Thrones (Music from the HBO® Series - Season 6),69,589094,2016-06-24,3,0.273,0.102,0,-16.843,0,0.0494,0.903,0.721,0.268,0.0583,120.378,4,classical
4,"Symphony No. 6 in B Minor, Op. 74 ""Pathétique"": III. Allegro molto vivace",Pyotr Ilyich Tchaikovsky,"Tchaikovsky: Symphony No. 6 ""Pathétique""",53,526734,2019-05-10,3,0.481,0.302,7,-18.133,1,0.044,0.923,0.905,0.203,0.277,80.988,4,classical
5,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",Ludwig van Beethoven,"Beethoven: Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",63,203655,2019-01-18,1,0.23,0.0487,5,-27.675,1,0.0412,0.986,0.945,0.0679,0.101,134.839,5,classical
6,"Cantabile, MS 109/Op. 17 (Arr. for Cello and Guitar)",Niccolò Paganini,"Cantabile, MS 109/Op. 17 (Arr. for Cello and Guitar)",33,205826,2019-05-24,1,0.251,0.257,2,-11.122,1,0.0403,0.99,0.794,0.107,0.227,124.301,4,classical
7,"Schumann: Widmung, Op. 25 No. 1 (Arr. Liszt, S. 566a)",Robert Schumann,Love and Death - Widmung (Liebeslied),57,237960,2019-04-12,1,0.244,0.0325,8,-23.379,1,0.0457,0.992,0.879,0.108,0.0406,74.079,3,classical
8,Golden Butterflies Var. 1 - Day 2,Ludovico Einaudi,Seven Days Walking (Day 2),59,357122,2019-04-19,4,0.244,0.12,4,-19.249,0,0.073,0.972,0.768,0.284,0.0323,79.285,4,classical
9,"Trio in D Minor, Op. 63: I. Mit Energie und Leidenschaft",Robert Schumann,Schumann: Complete Piano Trios,54,735258,2019-04-05,1,0.227,0.0843,2,-22.358,0,0.0384,0.974,0.789,0.131,0.0737,101.826,4,classical
10,"Holst: The Planets, Op. 32: I. Mars, the Bringer of War",Gustav Holst,"Holst: The Planets, Op. 32",51,425560,1974-01-01,1,0.204,0.406,0,-14.309,1,0.0404,0.813,0.853,0.155,0.0904,159.574,5,classical
11,Etude No. 2,Philip Glass,Etudes for Piano Vol 1 No. 1-10,58,295560,2001-05-01,2,0.235,0.166,5,-19.632,1,0.0347,0.992,0.87,0.101,0.0356,101.182,4,classical
12,I. Lento—Sostenuto tranquillo ma cantabile,Henryk Górecki,Henryk Górecki: Symphony No. 3 (Symphony Of Sorrowful Songs),55,1479679,2019-03-29,1,0.135,0.181,4,-15.798,0,0.0361,0.778,0.846,0.113,0.0378,100.254,4,classical
13,"Deux Arabesques, L. 66: 1. Andantino con moto in E Major",Hélène Grimaud,Memory,59,256440,2018-09-21,2,0.295,0.0673,4,-24.793,1,0.0362,0.992,0.868,0.0721,0.0801,71.254,3,classical
14,Minerva,Akira Kosemura,In Moonlight,54,69413,2019-03-29,1,0.228,0.35,9,-9.407,1,0.0337,0.843,0.775,0.114,0.181,159.247,4,classical
15,"Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)",Johann Sebastian Bach,Johann Sebastian Bach,60,326520,2018-09-07,5,0.384,0.0414,11,-23.019,0,0.0378,0.992,0.897,0.0684,0.0618,71.224,4,classical
16,Apophis,Joep Beving,Apophis,50,424830,2019-03-29,1,0.457,0.316,9,-18.681,0,0.0384,0.965,0.906,0.0754,0.106,99.866,4,classical
17,Fox Tracks - Day 3,Ludovico Einaudi,Fox Tracks (Day 3),58,257653,2019-05-10,1,0.151,0.079,7,-24.449,1,0.0409,0.958,0.954,0.106,0.0519,74.235,4,classical
18,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,"Bach: Cello Suites Nos. 1, 5 & 6",67,152280,1983,1,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,4,classical
19,"Rêverie, L. 68: Rêverie",Claude Debussy,Debussy Piano Edition,59,257000,2012-01-01,18,0.242,0.00898,7,-31.811,0,0.0424,0.994,0.909,0.0814,0.0549,68.88,5,classical
20,"4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto",Franz Schubert,Schubert: Impromptus Opp.90 & 142,11,497773,1983-01-01,4,0.343,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,3,classical
21,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",Wolfgang Amadeus Mozart,"Mozart: Piano Concertos, Vol. 6",64,433800,1995-11-01,2,0.194,0.0324,5,-28.215,1,0.0382,0.982,0.961,0.0916,0.0596,144.13,4,classical
22,"Chopin: 24 Preludes, Op. 28: No. 15 in D-Flat Major, ""Raindrop""",Frédéric Chopin,"Chopin : Preludes, Ballades Nos 3 & 4, Nocturnes",61,348333,2002-03-01,19,0.398,0.00293,1,-29.481,1,0.0666,0.995,0.922,0.0897,0.0804,130.464,4,classical
23,"Six Pieces for Piano, Volume 2: 4. La Valse d'Amélie",Lang Lang,"Tiersen: Six Pieces for Piano, Volume 2: 4. La Valse d'Amélie",54,170360,2019-02-08,1,0.245,0.0942,0,-20.079,1,0.0395,0.985,0.893,0.0631,0.0713,71.782,3,classical
24,Beethoven : Symphony No.9 in D minor Op.125 : II Molto vivace,Ludwig van Beethoven,Beethoven : Symphonies Nos 1 - 9,59,822306,1991-06-01,35,0.364,0.189,2,-22.125,0,0.0425,0.964,0.82,0.0769,0.283,111.408,4,classical
25,Canon & Gigue,Johann Pachelbel,Pachelbel: Canon & Gigue - Musique de chambre,53,316266,2007-07-31,10,0.332,0.218,1,-15.772,1,0.0392,0.527,0.238,0.223,0.538,124.63,4,classical
26,"Prelude & Fughetta in G Major, BWV 902: 1. Prelude",Johann Sebastian Bach,Johann Sebastian Bach,55,206426,2018-09-07,1,0.38,0.254,2,-24.967,1,0.0365,0.992,0.926,0.117,0.805,101.1,4,classical
27,The Lark Ascending,Tasmin Little,The Lark Ascending,53,935360,2013,9,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,4,classical
28,"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""Summer"": III. Presto",Antonio Vivaldi,Sinkovsky Plays and Sings Vivaldi,59,153573,2014,6,0.333,0.465,7,-18.452,1,0.0462,0.837,0.797,0.291,0.641,169.952,3,classical
29,Tannhäuser: Overture,Richard Wagner,Wagner: Overtures / Siegfried Idyll,9,853346,2007-01-01,3,0.0821,0.128,4,-16.584,1,0.0346,0.872,0.889,0.107,0.0427,78.015,4,classical
30,"Kinderszenen, Op. 15: VII. Träumerei",Robert Schumann,"Schumann: Piano Concerto, Franck: Symphonic Variations",14,186200,2002-10-12,11,0.453,0.00715,5,-33.859,1,0.0709,0.995,0.931,0.0647,0.257,135.407,3,classical
31,"Violin Concerto In E Minor, Op.64, MWV O14: 1. Allegro molto appassionato",Kyung Wha Chung,Mendelssohn: Violin Concerto / Bruch: Violin Concerto / Scottish Fantasy,8,730666,1982-01-01,1,0.278,0.151,4,-19.607,0,0.042,0.917,0.122,0.273,0.167,99.212,4,classical
32,"Ravel: Pavane pour une infante défunte, M. 19",Maurice Ravel,Ravel: Complete Works for Solo Piano,58,346586,2016-01-15,2,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,3,classical
33,Vier letzte Lieder: 2. September,Richard Strauss,"Strauss, R.: Four Last Songs, etc.",7,326200,1983-01-01,2,0.134,0.0861,2,-22.517,1,0.0441,0.988,0.204,0.0761,0.0355,153.035,4,classical
34,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: Allegro non troppo e molto maestoso",Van Cliburn,Tchaikovsky: Concerto No. 1/Rachmaninoff: Concerto No. 2,53,1240502,1987,1,0.265,0.169,10,-16.814,0,0.036,0.976,0.871,0.0903,0.0399,81.013,4,classical
