,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Love Someone,Brett Eldredge,Brett Eldredge,73,211720,2017-08-04,1,0.423,0.813,9,-5.011,1,0.0507,0.218,1.62e-06,0.0732,0.421,173.995,4,country
1,Nobody,Dylan Scott,Nobody,53,160706,2019-03-01,1,0.573,0.747,0,-6.46,1,0.0319,0.519,1.13e-06,0.0867,0.645,79.952,4,country
2,Thought About You,Tim McGraw,Thought About You,29,225694,2018-10-04,2,0.563,0.745,2,-4.753,1,0.0288,0.24,4.96e-05,0.11,0.28,121.015,4,country
3,Love Ain't,Eli Young Band,Love Ain't,72,186118,2018-05-25,1,0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78e-06,0.0891,0.727,98.007,4,country
4,That's How You Got It,John Gurney,That's How You Got It,67,184746,2019-01-07,1,0.673,0.683,4,-4.224,1,0.0321,0.00181,1.06e-05,0.099,0.824,89.984,4,country
5,Some Of It,Eric Church,Desperate Man,68,195146,2018-10-05,4,0.56,0.736,0,-7.306,1,0.0446,0.341,9.81e-06,0.155,0.824,79.843,4,country
6,Here Tonight,Brett Young,Here Tonight,19,216533,2018-09-14,1,0.517,0.776,11,-5.271,1,0.0362,0.0144,0.0,0.113,0.448,96.002,4,country
7,God's Country,Blake Shelton,God's Country,78,205106,2019-03-29,1,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,4,country
8,I Don't Know About You,Chris Lane,Laps Around The Sun,74,207933,2018-07-13,4,0.594,0.808,1,-5.749,1,0.0615,0.601,0.0,0.119,0.73,144.028,4,country
9,Take It From Me,Jordan Davis,Take It From Me,69,174254,2017-10-20,1,0.598,0.893,10,-3.136,1,0.0497,0.0227,0.0,0.352,0.667,100.031,4,country
10,Beer Never Broke My Heart,Luke Combs,Beer Never Broke My Heart,78,186800,2019-05-08,1,0.54,0.863,1,-4.483,1,0.0481,0.0138,0.0,0.0871,0.64,77.0,4,country
11,Make Me Want To,Jimmie Allen,Mercury Lane,18,172280,2018-09-21,1,0.519,0.872,2,-3.212,1,0.0616,0.0793,0.0,0.111,0.74,179.965,4,country
12,Nothing To Do Town,Dylan Scott,Nothing To Do Town,60,185413,2018-11-16,1,0.551,0.836,2,-5.182,1,0.0338,0.0249,1.33e-05,0.222,0.911,147.954,4,country
13,Ridin' Roads,Dustin Lynch,Ridin' Roads,72,205426,2019-03-08,1,0.547,0.817,9,-4.255,1,0.0448,0.0986,0.0,0.136,0.592,142.118,4,country
14,GIRL,Maren Morris,GIRL,47,250664,2019-01-17,1,0.44,0.793,6,-3.95,1,0.0502,0.0677,0.0,0.0788,0.447,143.599,4,country
15,Good Vibes,Chris Janson,Good Vibes,67,165586,2019-02-08,1,0.582,0.846,0,-2.771,1,0.0451,0.022,0.0,0.133,0.736,92.004,4,country
16,Talk You Out Of It,Florida Georgia Line,Florida Georgia Line,19,202920,2018-07-06,3,0.652,0.712,4,-4.588,1,0.0388,0.596,0.0,0.0814,0.553,120.063,4,country
17,Make It Sweet,Old Dominion,Make It Sweet,28,186133,2018-10-08,1,0.539,0.859,7,-4.465,1,0.0399,0.0317,0.0,0.102,0.456,89.937,4,country
18,Good as You,Kane Brown,Good as You,36,192053,2018-10-19,1,0.634,0.516,8,-6.05,1,0.0373,0.4,0.0,0.142,0.769,153.831,4,country
19,On My Way to You,Cody Johnson,Ain't Nothin' to It,72,213306,2019-01-18,11,0.443,0.538,1,-5.477,1,0.0309,0.327,4.61e-05,0.0866,0.245,157.97,4,country
20,To a T,Ryan Hurd,To a T,39,178813,2018-08-31,1,0.687,0.641,11,-5.814,1,0.03,0.17,0.0,0.111,0.663,120.04,4,country
21,She Got the Best of Me,Luke Combs,This One's for You Too (Deluxe Edition),78,183160,2018-06-01,17,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,4,country
22,Rearview Town,Jason Aldean,Rearview Town,70,184173,2018-03-16,1,0.526,0.85,10,-4.47,0,0.0313,0.023,0.0,0.0948,0.338,141.973,4,country
23,Can’t Hide Red,Florida Georgia Line,Can't Say I Ain't Country,69,181600,2019-02-15,15,0.514,0.864,4,-3.246,0,0.0502,0.0256,0.0,0.103,0.471,94.927,4,country
24,Famous,Adam Doleac,Famous,68,186450,2019-01-04,1,0.736,0.423,7,-6.934,1,0.0428,0.398,0.0,0.108,0.346,94.919,4,country
25,Alcohol You Later,Mitchell Tenpenny,Mitchell Tenpenny - EP,28,187368,2018-02-23,3,0.668,0.595,8,-6.977,1,0.0373,0.0252,0.0,0.0978,0.459,99.973,4,country
26,Closer To You,Carly Pearce,Closer To You,70,187321,2018-11-02,1,0.662,0.685,4,-4.561,0,0.0302,0.125,0.0,0.0961,0.447,111.964,4,country
27,Beautiful Crazy,Luke Combs,This One's for You Too (Deluxe Edition),82,193200,2018-06-01,15,0.552,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,4,country
28,Caught Up In The Country,Rodney Atkins,Caught Up In The Country,76,160991,2018-03-23,1,0.564,0.904,7,-3.808,1,0.0582,0.00719,0.0,0.528,0.637,124.102,4,country
29,Drinkin' Terms,Cody Purvis,Drinkin' Terms,66,176262,2018-11-16,1,0.599,0.659,5,-5.241,1,0.0371,0.287,2.06e-06,0.505,0.644,82.002,4,country
30,One Man Band,Old Dominion,Old Dominion,73,186520,2019-01-18,2,0.705,0.363,6,-8.327,1,0.0355,0.667,0.0,0.112,0.482,75.98,4,country
31,My Miracle,Brad Paisley,My Miracle,65,250429,2019-03-11,1,0.573,0.656,4,-5.564,1,0.0274,0.496,3.41e-05,0.0991,0.547,140.036,4,country
32,Night Shift,Jon Pardi,California Sunrise,76,172253,2016-05-13,4,0.628,0.757,7,-3.561,1,0.0281,0.113,0.0,0.263,0.727,96.016,4,country
33,All To Myself,Dan + Shay,All To Myself,74,169612,2018-05-03,1,0.651,0.782,1,-4.622,1,0.0303,0.23,0.0,0.139,0.619,94.94,4,country
34,Try Saying Goodbye,John King,Try Saying Goodbye,67,181630,2019-01-25,1,0.432,0.77,5,-7.076,1,0.0331,0.0117,0.0,0.0849,0.335,93.858,4,country
35,Love That About You,Filmore,Love That About You,53,157421,2018-06-29,1,0.552,0.573,9,-6.585,1,0.0948,0.0463,0.0,0.105,0.525,182.14,4,country
36,The Bones,Maren Morris,GIRL...The Bones,46,197293,2019-02-22,1,0.612,0.57,11,-6.642,0,0.0347,0.279,0.0,0.0963,0.335,77.004,4,country
37,Miss Me More,Kelsea Ballerini,Unapologetically,17,192840,2017-11-03,2,0.644,0.713,9,-7.148,0,0.0547,0.0144,0.0,0.0829,0.468,95.999,4,country
38,Whiskey Glasses,Morgan Wallen,If I Know Me,80,234346,2018-04-27,4,0.615,0.68,6,-4.582,1,0.0286,0.364,1.75e-06,0.115,0.702,149.992,4,country
39,Rumor,Lee Brice,Lee Brice,77,198440,2017-11-03,8,0.655,0.56,9,-6.857,1,0.0486,0.749,0.0,0.115,0.599,140.975,4,country
