,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,People Need A Melody,The Head and the Heart,People Need A Melody,64,252301,2019-05-03,1,0.586,0.54,0,-5.761,1,0.0255,0.192,0.0,0.127,0.162,82.156,4,folk
1,"Penny, Heads Up",Caamp,"Penny, Heads Up",56,207186,2019-04-30,1,0.593,0.374,4,-11.424,1,0.0672,0.861,0.134,0.255,0.752,138.592,4,folk
2,1957,Milo Greene,Milo Greene,61,204213,2012-07-16,6,0.388,0.595,1,-9.799,1,0.0325,0.663,5.58e-05,0.178,0.596,190.043,4,folk
3,Shake,The Head and the Heart,Shake,14,241706,2013-08-06,1,0.48,0.79,4,-7.775,1,0.0353,0.472,0.713,0.155,0.446,111.025,4,folk
4,Call Me In The Afternoon,Half Moon Run,Spotify Sessions,21,193240,2013-01-01,1,0.512,0.948,1,-7.923,1,0.0439,0.126,0.0122,0.112,0.607,88.556,4,folk
5,Saturday Sun,Vance Joy,Saturday Sun,57,214720,2018-02-01,1,0.637,0.864,8,-4.381,1,0.0468,0.484,0.0,0.222,0.706,99.995,4,folk
6,Chateau,Angus & Julia Stone,Chateau,53,273533,2017-08-24,1,0.661,0.585,5,-11.255,1,0.0367,0.658,0.876,0.102,0.606,129.98,4,folk
7,Gloria,The Lumineers,Gloria,64,216120,2019-04-05,1,0.523,0.714,11,-6.021,1,0.0367,0.658,5.2e-06,0.0785,0.659,78.211,4,folk
8,Little Road,Devarrow,The Great Escape,55,195680,2015-07-15,5,0.66,0.618,8,-8.136,1,0.04,0.666,0.00176,0.184,0.302,108.942,4,folk
9,Graveclothes,Birdtalker,Graveclothes,58,227105,2016-07-22,1,0.431,0.823,7,-5.592,1,0.122,0.0538,2.48e-05,0.0855,0.624,176.536,4,folk
10,Mountain To Move,Nick Mulvey,Mountain To Move,58,236280,2017-07-25,1,0.662,0.947,7,-6.409,1,0.0517,0.431,0.007,0.0974,0.31,110.006,4,folk
11,Awake,Freedom Fry,Awake,16,194129,2017-01-13,1,0.618,0.749,11,-5.093,0,0.0304,0.654,0.213,0.255,0.548,111.986,4,folk
12,Common Man,Caamp,Common Man,58,133477,2017-10-12,1,0.388,0.59,6,-7.173,1,0.0565,0.751,0.0,0.25,0.747,155.208,4,folk
13,Either Way,Beta Radio,Seven Sisters,56,135560,2010-01-01,1,0.651,0.621,8,-7.271,1,0.0359,0.637,0.000122,0.0712,0.914,77.578,4,folk
14,Cleopatra,The Lumineers,Cleopatra,63,201413,2016-04-08,3,0.536,0.775,8,-6.765,1,0.0394,0.228,0.000143,0.0947,0.485,151.393,4,folk
15,Olalla,Blanco White,Olalla,69,247373,2018-06-22,1,0.572,0.409,3,-11.384,1,0.0377,0.662,0.296,0.125,0.351,129.983,4,folk
16,Hummingbird,Traveller,Hummingbird,54,192743,2018-03-26,1,0.959,0.424,2,-9.5,1,0.0522,0.435,0.00049,0.107,0.852,108.997,4,folk
17,Tomorrow,Shakey Graves,Tomorrow,66,240586,2016-09-02,1,0.564,0.354,7,-10.85,1,0.0334,0.73,3.43e-06,0.208,0.423,98.075,3,folk
18,Sedona,Houndmouth,Little Neon Limelight,67,239880,2015-03-17,1,0.396,0.677,3,-7.513,1,0.0354,0.0372,0.000137,0.112,0.249,135.177,4,folk
19,Amadeus,Family and Friends,XOXO,59,207519,2015-07-17,2,0.428,0.724,11,-7.264,0,0.0434,0.183,0.000136,0.251,0.184,146.917,4,folk
