,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Domenica,Coez,È sempre bello,71,201546,2019-03-29,4,0.695,0.708,9,-6.348,0,0.0428,0.182,0.0,0.0462,0.599,105.997,4,indie
1,Maradona y Pelé,Thegiornalisti,Maradona y Pelé,66,201985,2019-05-17,1,0.683,0.823,9,-4.885,0,0.23,0.0867,0.0,0.406,0.668,119.905,4,indie
2,ARSENICO,AIELLO,ARSENICO,61,180651,2019-03-27,1,0.701,0.575,0,-7.843,1,0.0474,0.492,0.0,0.106,0.652,82.022,4,indie
3,Missili,Frah Quintale,Missili,61,195349,2018-05-02,1,0.706,0.683,4,-5.402,0,0.105,0.443,0.0,0.313,0.676,90.039,4,indie
4,Non sei tu,Gazzelle,Superbattito,62,199200,2017-03-03,1,0.581,0.591,10,-9.639,1,0.0444,0.487,1.77e-06,0.0806,0.138,140.038,4,indie
5,Verdura,Pinguini Tattici Nucleari,Verdura,58,209419,2019-01-18,1,0.688,0.884,7,-2.529,1,0.0552,0.0988,0.0,0.123,0.828,159.969,4,indie
6,tadb,rovere,tadb,57,189745,2019-03-08,1,0.722,0.601,1,-6.601,0,0.0521,0.0473,0.0,0.0814,0.556,99.968,4,indie
7,Merci,Carl Brave,Notti Brave (After),68,261946,2018-11-30,2,0.639,0.896,2,-5.202,1,0.0605,0.0965,0.0,0.141,0.314,90.14,4,indie
8,MANCARSI,Coma_Cose,HYPE AURA,59,229120,2019-03-15,2,0.691,0.579,2,-5.076,1,0.041,0.416,0.0,0.104,0.344,145.907,4,indie
9,Zero stare sereno,Thegiornalisti,LOVE,63,195426,2018-09-21,2,0.642,0.938,4,-3.674,1,0.053,0.0212,0.0,0.0833,0.282,115.956,4,indie
10,È sempre bello,Coez,È sempre bello,75,203872,2019-01-11,1,0.692,0.63,8,-6.792,1,0.164,0.0732,0.0,0.0865,0.499,110.919,5,indie
11,Kiwi,Calcutta ,Evergreen,59,222826,2018-05-25,4,0.615,0.416,4,-7.09,0,0.026,0.0611,1.55e-06,0.453,0.271,89.952,4,indie
12,Camel Blu (feat. Giorgio Poi),Carl Brave,Notti Brave,62,202786,2018-05-11,3,0.681,0.641,8,-5.577,1,0.0559,0.0429,0.0,0.109,0.0953,81.977,4,indie
13,Meglio Così,Gazzelle,Meglio Così,59,241497,2017-12-08,1,0.677,0.716,8,-5.988,1,0.035,0.00881,0.000287,0.108,0.193,124.037,4,indie
14,Solo Una Canzone,Ex-Otago,Solo Una Canzone,59,227282,2019-02-06,1,0.607,0.691,9,-6.011,1,0.0394,0.187,0.0,0.25,0.485,80.975,4,indie
15,Bella come Roma,Viito,Bella come Roma,6,227374,2018-01-19,1,0.49,0.874,0,-4.352,1,0.0483,0.0519,0.0,0.168,0.578,179.991,4,indie
16,Oroscopo,Calcutta ,Oroscopo,58,198292,2016-05-13,1,0.604,0.822,11,-4.95,0,0.126,0.276,0.0,0.163,0.793,163.945,4,indie
