,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Coral Dreams,Saib,Mangroves,38,171428,2019-05-20,2,0.817,0.556,4,-9.356,0,0.0553,0.247,0.813,0.0812,0.362,90.989,4,jazz
1,Copacabana Sunset,Beaumont,I Dare U,4,143593,2019-05-20,4,0.69,0.177,11,-13.566,1,0.0513,0.786,0.893,0.11,0.197,144.034,4,jazz
2,LAX Terminal,Shuko,LAX Terminal,19,94546,2019-05-24,1,0.8,0.595,4,-6.456,1,0.154,0.201,0.194,0.0906,0.819,84.008,4,jazz
3,Azure,Rudy Raw,Calm,1,99310,2019-05-22,3,0.907,0.335,8,-7.816,0,0.106,0.41,0.151,0.093,0.856,86.981,4,jazz
4,Sao Paulo Sunset,Saib,Summer Days,62,207401,2019-03-08,4,0.693,0.918,7,-8.307,1,0.088,0.323,0.558,0.392,0.757,176.15,4,jazz
5,Second Wind,L'Indécis,Second Wind,64,180000,2019-04-19,1,0.43,0.309,0,-10.767,0,0.0584,0.893,0.788,0.13,0.259,82.077,4,jazz
6,Italian Afternoons,Sweatson Klank,Italian Afternoons,44,228973,2019-05-22,1,0.646,0.357,0,-7.952,1,0.0667,0.458,0.816,0.105,0.732,180.043,4,jazz
7,Venice,Gyvus,Venice,62,156631,2018-06-23,1,0.881,0.561,8,-7.351,1,0.139,0.333,0.88,0.148,0.801,95.011,4,jazz
8,sunny,j'san,sunny,66,139130,2018-04-26,1,0.811,0.429,0,-11.503,1,0.0789,0.468,0.607,0.109,0.646,138.027,4,jazz
9,Visit By Cap Kendricks,Funky Notes,Second Home,54,195333,2019-05-03,5,0.525,0.729,6,-5.085,0,0.328,0.339,0.000494,0.538,0.842,81.634,4,jazz
10,cielo,n o r m a l,cielo,52,150093,2019-04-09,1,0.613,0.317,1,-10.621,1,0.101,0.747,0.783,0.133,0.553,79.98,4,jazz
11,City Samba,Konteks,Faces & Spaces,61,180000,2018-12-14,8,0.409,0.412,6,-12.822,1,0.0372,0.285,0.699,0.127,0.41,88.009,4,jazz
12,sunset cruise,Slowheal,sunset cruise,58,160673,2019-04-17,1,0.646,0.538,5,-8.997,1,0.0639,0.817,0.884,0.0811,0.24,90.022,4,jazz
13,Brother,Nosnija,Brother,53,91564,2019-05-07,1,0.624,0.198,7,-11.828,1,0.15,0.907,0.549,0.112,0.0723,77.02,5,jazz
14,Subsailing,Pandrezz,Subsailing,25,128666,2019-05-22,1,0.787,0.43,6,-8.422,1,0.165,0.407,0.928,0.0869,0.325,89.914,4,jazz
15,Summer is here,Ymori,Summer is here,1,75803,2019-05-21,1,0.741,0.39,1,-8.909,1,0.1,0.0863,0.869,0.105,0.892,168.205,4,jazz
16,rescue mission in outer space,your best friend jippy,rescue mission in outer space / without dreams,10,80288,2019-05-21,1,0.816,0.33,10,-12.946,0,0.18,0.16,0.156,0.135,0.744,80.637,4,jazz
17,see us.,yeyts.,culpa,6,88485,2019-05-22,4,0.422,0.396,0,-7.181,0,0.0566,0.553,0.0348,0.166,0.439,75.991,4,jazz
18,Morning Beat,Ameba,Grow,7,91872,2019-05-20,6,0.683,0.293,10,-11.245,0,0.433,0.772,0.862,0.0896,0.286,170.32,4,jazz
19,Bedroom,H.1,Bedroom,6,111000,2019-05-19,1,0.634,0.0723,0,-22.396,1,0.0667,0.861,0.0415,0.0987,0.207,80.073,4,jazz
20,resting,Sugar Cane Davis,resting / soft wind,4,64288,2019-05-21,1,0.693,0.312,7,-12.124,1,0.0589,0.417,0.932,0.651,0.217,128.907,4,jazz
21,Small Talk,Sleepermane,Small Talk,7,80208,2019-05-22,1,0.713,0.32,9,-13.152,0,0.0502,0.59,0.941,0.111,0.485,75.04,4,jazz
22,quiet humans,Delayde,photorealism,20,103500,2019-05-20,3,0.691,0.131,3,-19.917,1,0.0496,0.82,0.822,0.0825,0.111,80.082,4,jazz
23,i know you like wine,Moody.,ドゥリ / i know you like wine,1,79058,2019-05-24,2,0.729,0.0924,8,-14.399,0,0.0989,0.932,0.907,0.121,0.807,85.003,4,jazz
24,Nausea,b l o o p r,Downsample,3,150000,2019-05-22,2,0.582,0.588,2,-8.917,1,0.0532,0.363,0.0494,0.177,0.452,80.013,4,jazz
25,Jazzhands,Spaze Windu,Süßer Geschmack / Jazzhands,10,140000,2019-05-24,2,0.816,0.423,5,-9.724,0,0.0469,0.146,0.549,0.129,0.458,91.96,4,jazz
26,Crossing,drkmnd,Crossing,5,110771,2019-05-22,1,0.469,0.173,1,-13.383,0,0.0612,0.925,0.856,0.1,0.537,151.302,4,jazz
27,1986,eevee beats,1986,7,82857,2019-05-18,1,0.683,0.118,6,-13.85,1,0.0831,0.624,0.0504,0.126,0.337,84.03,4,jazz
28,link,soder.,link,4,93687,2019-05-22,1,0.541,0.313,9,-14.05,0,0.116,0.882,0.313,0.14,0.214,68.48,4,jazz
29,Creek,Amuseity,Creek / Green,0,105365,2019-05-21,1,0.774,0.358,3,-10.975,1,0.166,0.467,0.944,0.1,0.559,82.005,4,jazz
30,A Place I Know,DLJ,A Place I Know,8,127142,2019-05-22,1,0.714,0.305,2,-10.721,1,0.0899,0.62,0.374,0.129,0.412,84.01,4,jazz
31,solitude,BROCKBEATS,Silent Talk,21,138500,2019-05-21,18,0.432,0.371,11,-12.193,1,0.113,0.962,0.932,0.207,0.282,146.384,4,jazz
32,Flowers,lksdrhstlr,sum dives,0,151144,2019-05-24,20,0.841,0.212,0,-10.598,1,0.194,0.111,0.795,0.112,0.851,89.003,4,jazz
33,play,jhfly,play / fours,23,118000,2019-05-21,1,0.815,0.0613,0,-15.899,1,0.0712,0.313,0.89,0.0978,0.92,74.288,4,jazz
34,Ji-Eun's Sunset,City Girl,Neon Impasse,61,168813,2018-07-02,1,0.931,0.517,4,-8.476,1,0.105,0.0923,0.821,0.114,0.171,118.021,4,jazz
35,Vibin' Out,Ruck P,Vibin' Out,59,227500,2019-04-15,1,0.652,0.42,9,-11.728,0,0.034,0.0243,0.66,0.0953,0.366,93.984,4,jazz
36,no stress,Oilix,Summer Trip,31,229407,2019-02-26,2,0.611,0.702,0,-6.944,1,0.0366,0.145,0.176,0.424,0.734,89.999,4,jazz
37,Both of Us,Various Artists,Chillhop Raw Cuts 2,66,113000,2017-07-31,14,0.66,0.528,11,-8.139,1,0.109,0.187,0.943,0.174,0.532,84.938,4,jazz
38,It's Ok,Pandrezz,It's Ok,63,168297,2019-03-20,1,0.702,0.277,7,-11.708,1,0.0466,0.835,0.879,0.121,0.065,87.0,4,jazz
