,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,HP,Maluma,HP,91,184435,2019-03-01,1,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,4,latin
1,Ella Quiere Beber - Remix,Anuel Aa,Ella Quiere Beber (Remix),61,219357,2018-11-02,1,0.751,0.665,8,-3.083,1,0.124,0.265,0.0,0.0515,0.698,95.239,4,latin
2,Desconocidos,Mau y Ricky,Desconocidos,87,204453,2018-10-12,1,0.709,0.771,7,-4.598,1,0.166,0.146,3.29e-06,0.249,0.709,174.006,4,latin
3,Pa Mí - Remix,Dalex,Pa Mí (Remix),89,360960,2019-02-07,1,0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,4,latin
4,Reggaeton,J Balvin,Reggaeton,84,158800,2018-11-17,1,0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-05,0.101,0.552,176.059,4,latin
5,Te Robaré,Nicky Jam,Te Robaré,91,201818,2019-03-22,1,0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,4,latin
6,Adictiva,Daddy Yankee,Adictiva,85,207853,2018-11-09,1,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,4,latin
7,Está Rico,Marc Anthony,Está Rico,76,215151,2018-09-28,1,0.817,0.74,11,-4.566,0,0.283,0.266,0.0,0.0992,0.674,130.04,4,latin
8,Soltera,Lunay,Soltera,84,213913,2019-02-21,1,0.778,0.731,5,-4.325,1,0.0399,0.446,0.0,0.251,0.854,91.991,4,latin
9,Con Altura,ROSALÍA,Con Altura,90,161626,2019-03-28,1,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,4,latin
10,Vaina Loca,Ozuna,Aura,83,176133,2018-08-24,3,0.754,0.805,6,-4.249,1,0.0752,0.315,0.0,0.203,0.555,93.983,4,latin
11,Quiere Beber,Anuel Aa,Real Hasta la Muerte,53,187125,2018-07-17,2,0.773,0.57,8,-3.482,1,0.113,0.372,0.00524,0.108,0.772,95.038,4,latin
12,MIA (feat. Drake),Bad Bunny,MIA (feat. Drake),88,210367,2018-10-11,1,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,4,latin
13,Otro Trago,Sech,Sueños,93,225933,2019-04-19,3,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,4,latin
14,Contra La Pared,Sean Paul,Contra La Pared,84,224680,2019-03-14,1,0.828,0.588,2,-7.14,1,0.118,0.0156,0.0,0.124,0.598,94.052,4,latin
15,Baila Baila Baila - Remix,Ozuna,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",86,235284,2019-04-25,1,0.785,0.572,2,-7.504,1,0.123,0.0598,0.0,0.218,0.49,100.016,4,latin
16,Con Calma - Remix,Daddy Yankee,Con Calma (Remix),83,181280,2019-04-19,1,0.736,0.868,8,-3.01,0,0.0454,0.166,1.48e-06,0.0419,0.613,94.026,4,latin
17,Culpables,Karol G,Culpables,81,226626,2018-09-14,1,0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-06,0.143,0.416,130.059,4,latin
18,La Respuesta,Becky G,La Respuesta,81,182400,2019-04-19,1,0.757,0.832,4,-3.674,0,0.229,0.127,0.0,0.167,0.53,180.05,4,latin
19,Me Gusta - Remix,Natti Natasha,Me Gusta (Remix),69,197013,2019-05-01,1,0.853,0.766,1,-3.527,0,0.0401,0.0247,3.4e-06,0.272,0.835,96.01,4,latin
20,No Te Vayas,Camilo,No Te Vayas,77,201226,2019-03-29,1,0.766,0.721,6,-4.46,0,0.0738,0.0527,0.0,0.128,0.81,92.001,4,latin
21,"Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce] - Remix",Various Artists,Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),73,210000,2019-02-22,14,0.604,0.754,2,-4.243,1,0.119,0.274,3.53e-06,0.0947,0.28,179.836,4,latin
22,Asesina - Remix,Brytiago,Asesina (Remix),80,327466,2018-10-31,1,0.825,0.69,10,-4.252,0,0.226,0.589,0.0,0.413,0.516,94.194,4,latin
23,Parecen Viernes,Marc Anthony,Parecen Viernes,67,268440,2019-04-19,1,0.658,0.863,7,-3.575,0,0.0352,0.287,1.53e-05,0.16,0.967,96.499,4,latin
24,Veneno,Danny Ocean,54+1,73,222511,2019-03-22,4,0.73,0.664,2,-6.872,0,0.0346,0.372,0.0,0.225,0.719,95.005,4,latin
25,La Boca,Mau y Ricky,Para Aventuras y Curiosidades,79,206279,2019-05-03,1,0.618,0.795,2,-1.8,1,0.113,0.0655,0.0,0.309,0.76,185.901,4,latin
26,Caro,Bad Bunny,X 100PRE,80,229455,2018-12-23,4,0.651,0.575,0,-7.739,1,0.299,0.627,0.000202,0.0961,0.248,160.007,4,latin
27,X - Remix,Nicky Jam,X (Remix),75,235746,2018-06-29,1,0.663,0.696,9,-4.957,0,0.103,0.0561,3.77e-05,0.0778,0.738,180.113,4,latin
28,No Lo Trates,Pitbull,No Lo Trates,80,198453,2019-04-26,1,0.834,0.808,11,-2.597,1,0.0542,0.0569,0.00052,0.222,0.829,104.026,4,latin
29,Ta To Gucci (Remix),Cauty,Cauty VS Young Cauty,80,304859,2018-12-07,1,0.73,0.648,1,-6.405,0,0.378,0.383,0.000112,0.103,0.675,187.991,4,latin
30,Resulta,RIKI,Resulta,62,176000,2019-05-03,1,0.835,0.644,8,-4.498,0,0.249,0.151,5.55e-06,0.126,0.69,93.959,4,latin
31,Todo Va Estar Bien,Mark B.,Todo Va a Estar Bien,56,194529,2018-09-11,1,0.794,0.814,11,-4.921,1,0.161,0.107,6.98e-06,0.131,0.826,105.018,4,latin
32,Tun Tun,Marko Silva,Tun Tun,54,191460,2018-11-30,1,0.803,0.784,4,-3.006,0,0.162,0.277,1.54e-05,0.0828,0.741,178.04,4,latin
33,Siempre Papi Nunca Inpapi,J Balvin,Siempre Papi Nunca Inpapi,73,205253,2019-04-06,1,0.797,0.744,9,-6.283,1,0.0892,0.036,0.000349,0.0662,0.722,93.981,4,latin
34,Verte Ir,DJ Luian,Verte Ir,91,267500,2019-03-28,1,0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-06,0.0842,0.553,95.982,4,latin
35,Usted,Juan Magán,Usted,69,233748,2018-03-30,1,0.712,0.833,0,-4.101,1,0.0618,0.0155,0.0,0.273,0.326,104.879,4,latin
36,La Romana,Bad Bunny,X 100PRE,80,300579,2018-12-23,11,0.655,0.725,0,-5.497,1,0.188,0.0327,0.00264,0.0611,0.326,125.8,4,latin
37,No Te Hagas la Loca,Noriel,No Te Hagas la Loca,76,240000,2019-04-12,1,0.775,0.666,2,-5.557,1,0.0878,0.0379,0.000806,0.083,0.659,91.001,4,latin
38,000000,A.CHAL,EXOTIGAZ,69,165214,2018-12-08,4,0.734,0.472,1,-8.192,0,0.306,0.494,0.00293,0.102,0.387,190.011,4,latin
39,Hoy,Mark B.,Hoy,49,172000,2019-03-07,1,0.87,0.823,1,-3.993,0,0.0676,0.0227,0.000537,0.0773,0.705,120.022,4,latin
40,Ramayama,Don Omar,Ramayama,72,195986,2019-04-20,1,0.696,0.708,9,-5.252,0,0.138,0.187,0.0,0.387,0.961,149.994,4,latin
41,MALAMENTE - Cap.1: Augurio,ROSALÍA,El Mal Querer,72,150027,2018-11-02,1,0.893,0.482,0,-4.779,0,0.0873,0.549,0.0164,0.0752,0.53,97.975,4,latin
42,Te Quiero Ver (feat. Beto Perez),Locos Por Juana,Te Quiero Ver (feat. Beto Perez),48,289952,2018-06-15,1,0.534,0.911,11,-2.713,0,0.114,0.231,0.0227,0.331,0.525,104.98,4,latin
43,Comerte A Besos,Justin Quiles,Comerte A Besos,74,230320,2019-04-26,1,0.798,0.721,11,-4.586,1,0.158,0.152,0.0,0.0814,0.509,88.04,4,latin
44,La Beba,Marval,La Beba,48,177300,2018-11-09,1,0.887,0.545,10,-8.657,0,0.364,0.457,0.0,0.111,0.827,100.073,4,latin
