,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Unsainted,Slipknot,Unsainted,78,260276,2019-05-16,1,0.427,0.944,7,-2.885,1,0.0565,0.000197,0.0159,0.0625,0.248,101.078,4,metal
1,Gasoline,I Prevail,TRAUMA,65,153613,2019-03-29,7,0.546,0.945,1,-4.399,1,0.0531,0.000311,0.0,0.724,0.545,135.128,4,metal
2,Drowning In The Sound,Trivium,Drowning In The Sound,58,223200,2019-05-17,1,0.478,0.972,6,-4.157,1,0.153,0.00114,0.000122,0.354,0.245,100.05,4,metal
3,DEUTSCHLAND,Rammstein,DEUTSCHLAND,79,322339,2019-03-28,1,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,4,metal
4,Brand New Numb,Motionless In White,Brand New Numb/Disguise,62,222461,2019-04-17,1,0.566,0.886,0,-3.63,1,0.0902,0.000348,0.0,0.494,0.619,130.066,4,metal
5,Mushroom Cloud,Of Mice & Men,Mushroom Cloud,58,244073,2019-05-03,1,0.258,0.987,6,-3.858,1,0.214,4.36e-05,0.302,0.372,0.395,169.995,4,metal
6,Redefined,As I Lay Dying,Redefined,61,255031,2019-04-12,1,0.461,0.954,7,-5.003,1,0.0989,4.61e-06,0.518,0.0724,0.253,140.079,4,metal
7,Spineless,Blood Youth,Spineless,54,214280,2019-02-04,1,0.476,0.948,6,-5.489,1,0.106,1.91e-05,0.00117,0.221,0.303,99.988,4,metal
8,Bloodline,Northlane,Bloodline,60,205546,2019-04-30,1,0.524,0.973,3,-5.784,0,0.118,0.000108,0.259,0.158,0.367,97.462,4,metal
9,Fleur de lis,The Raven Age,Fleur de lis,54,253000,2018-12-12,1,0.453,0.971,2,-4.239,1,0.1,1.69e-05,0.000327,0.0873,0.252,85.027,4,metal
10,ZEIG DICH,Rammstein,RAMMSTEIN,76,255845,2019-05-17,3,0.537,0.938,0,-4.322,0,0.045,0.00121,0.0302,0.0598,0.391,165.067,4,metal
11,Bismarck,Sabaton,Bismarck,64,313984,2019-05-17,1,0.505,0.858,6,-5.544,0,0.0428,0.00339,0.00122,0.264,0.43,95.054,4,metal
12,A Voice in the Violence,Wolves At The Gate,A Voice in the Violence,48,246400,2019-05-17,1,0.269,0.976,3,-4.481,0,0.073,5.9e-05,0.000677,0.138,0.343,120.005,4,metal
