,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Sucker,Jonas Brothers,Sucker,95,181040,2019-03-01,1,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,4,pop
1,I Don't Care (with Justin Bieber),Ed Sheeran,I Don't Care (with Justin Bieber),97,219946,2019-05-10,1,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,4,pop
2,Youngblood,5 Seconds of Summer,Youngblood (Deluxe),84,203417,2018-06-15,1,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,4,pop
3,I Like Me Better,Lauv,I Like Me Better,85,197436,2017-05-19,1,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,4,pop
4,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,Sick Boy...Beach House,29,199226,2018-11-16,1,0.539,0.651,1,-5.304,1,0.0432,0.0651,0.0,0.0662,0.474,105.159,4,pop
5,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,ME!,93,193040,2019-04-26,1,0.614,0.839,0,-4.143,1,0.0702,0.0291,0.0,0.112,0.657,182.123,4,pop
6,2002,Anne-Marie,Speak Your Mind (Deluxe),83,186986,2018-04-27,10,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,4,pop
7,Happier,Marshmello,Happier,92,214289,2018-08-17,1,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,4,pop
8,i'm so tired...,Lauv,i'm so tired...,91,162582,2019-01-24,1,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,4,pop
9,Who Do You Love,The Chainsmokers,Who Do You Love,74,226746,2019-02-07,1,0.51,0.835,3,-4.673,1,0.0447,0.00791,0.0,0.219,0.435,140.024,4,pop
10,"thank u, next",Ariana Grande,"thank u, next",90,207320,2019-02-08,11,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,4,pop
11,The Middle,Zedd,The Middle,85,184732,2018-01-23,1,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,4,pop
12,"Hey Look Ma, I Made It",Panic! At The Disco,Pray For The Wicked,85,169666,2018-06-22,3,0.577,0.833,5,-3.337,1,0.0695,0.0137,0.0,0.121,0.58,107.936,4,pop
13,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),81,207904,2018-05-10,1,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,4,pop
14,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",84,174800,2017-09-08,1,0.663,0.708,8,-4.154,1,0.0473,0.0337,0.0,0.0841,0.742,103.073,4,pop
15,7 rings,Ariana Grande,"thank u, next",89,178626,2019-02-08,10,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,4,pop
16,No Brainer,DJ Khaled,No Brainer,81,260000,2018-07-27,1,0.552,0.76,0,-4.706,1,0.342,0.0733,0.0,0.0865,0.639,135.702,5,pop
17,High Hopes,Panic! At The Disco,Pray For The Wicked,90,190946,2018-06-22,4,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,4,pop
18,Delicate,Taylor Swift,reputation (Big Machine Radio Release Special),74,232253,2017-11-08,10,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,4,pop
19,Most Girls,Hailee Steinfeld,Most Girls,77,204400,2017-04-28,1,0.76,0.588,9,-7.082,1,0.0775,0.0485,0.0,0.0847,0.384,102.974,4,pop
20,Body,Loud Luxury,Body,81,163216,2017-10-27,1,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,4,pop
21,Sweet but Psycho,Ava Max,Sweet but Psycho,92,187436,2018-08-17,1,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,4,pop
22,Rewrite The Stars,Zac Efron,Rewrite The Stars,73,217440,2017-11-17,1,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,4,pop
23,Sorry Not Sorry,Demi Lovato,Tell Me You Love Me (Deluxe),19,203760,2017-09-29,1,0.704,0.633,11,-6.923,0,0.241,0.0214,0.0,0.29,0.863,144.021,4,pop
24,IDGAF,Dua Lipa,Dua Lipa (Deluxe),84,217946,2017-06-02,5,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,4,pop
25,What I Like About You (feat. Theresa Rex),Jonas Blue,What I Like About You (feat. Theresa Rex),86,220396,2019-03-22,1,0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,4,pop
26,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",100,194087,2019-03-29,2,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4,pop
27,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Pretty Girl (Cheat Codes X CADE Remix),77,193613,2017-03-02,1,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,4,pop
28,Remind Me to Forget,Kygo,Kids in Love,74,217293,2017-11-03,9,0.689,0.505,0,-6.389,1,0.0933,0.158,0.0,0.138,0.312,99.017,4,pop
29,Jackie Chan,Tiësto,Jackie Chan,82,215759,2018-05-18,1,0.747,0.834,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005,4,pop
30,Do You Mean (with Ty Dolla $ign & bülow),The Chainsmokers,World War Joy...Do You Mean,83,193175,2019-04-26,1,0.6,0.666,11,-9.827,1,0.0394,0.102,0.0,0.118,0.566,99.989,4,pop
31,Wait,Maroon 5,Red Pill Blues (Deluxe),27,190642,2017-11-03,3,0.655,0.603,8,-5.014,1,0.0555,0.0959,0.0,0.107,0.452,126.088,4,pop
32,Better Not (with Wafia),Louis The Child,Kids At Play- EP,73,222865,2018-10-26,3,0.783,0.537,9,-2.921,1,0.0795,0.278,0.0,0.229,0.393,113.988,4,pop
33,Capital Letters,Hailee Steinfeld,"Capital Letters [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",47,219386,2018-01-12,1,0.666,0.814,0,-5.536,1,0.0736,0.0333,7.02e-06,0.0535,0.478,99.913,4,pop
34,SOS,Avicii,SOS,95,157202,2019-04-10,1,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001,4,pop
35,I Miss You (feat. Julia Michaels),Clean Bandit,I Miss You (feat. Julia Michaels),29,205747,2017-10-26,1,0.638,0.658,3,-6.318,1,0.0456,0.245,3.77e-06,0.0919,0.33,105.076,4,pop
36,TOOTIMETOOTIMETOOTIME,The 1975,TOOTIMETOOTIMETOOTIME,14,208741,2018-08-15,1,0.662,0.827,8,-5.891,1,0.0624,0.166,0.0165,0.086,0.477,115.014,4,pop
37,Electricity (with Dua Lipa),Silk City,Electricity (with Dua Lipa),83,238173,2018-09-06,1,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,4,pop
38,Not A Love Song,bülow,Damaged Vol. 1,69,192293,2017-11-03,2,0.74,0.533,7,-10.294,1,0.0824,0.138,4.99e-05,0.127,0.313,92.005,4,pop
