,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Soft,Various Artists,"The Henry Glover Story, Vol. 2 1951-61",5,150906,2012-11-12,15,0.695,0.66,0,-7.51,1,0.0407,0.64,0.816,0.0814,0.784,82.523,4,rhythm and blues
1,I Wanna Know,The Du Droppers,"Talk That Talk ! - The Ultimate Du Droppers, 1952 - 1955",36,137706,2012-12-10,5,0.611,0.486,0,-12.781,0,0.0576,0.799,0.0,0.125,0.887,79.284,4,rhythm and blues
2,Lawdy Miss Clawdy,Lloyd Price,Mr Personality,41,108826,2014-01-27,15,0.439,0.859,3,-4.847,1,0.0419,0.799,0.786,0.278,0.842,131.657,4,rhythm and blues
3,Hello Central (Give Me Central),Lightnin' Hopkins,Hello Central: The Best Of Lightnin' Hopkins,4,176466,1950,2,0.545,0.352,8,-12.65,1,0.0323,0.951,0.000336,0.137,0.369,69.293,4,rhythm and blues
4,Mellow Blues,Sonny Thompson & Lula Reed,The Very Best Of,38,163040,2010-12-01,21,0.79,0.341,2,-10.016,1,0.0301,0.53,0.87,0.0942,0.58,106.722,4,rhythm and blues
5,"Shake, Rattle and Roll",Big Joe Turner,Shake Rattle & Rock,46,179626,2007-10-30,16,0.612,0.584,8,-6.296,1,0.0623,0.788,3.13e-06,0.193,0.845,154.704,4,rhythm and blues
6,Upstairs Boogie,Lil Son Jackson,The Complete Imperial Recordings Of Lil' Son Jackson,36,136560,1995-06-08,23,0.593,0.438,10,-13.451,0,0.028,0.883,0.0167,0.317,0.758,130.225,3,rhythm and blues
7,Kansas City,Various Artists,Rockabilly Madness,4,143840,2007-10-09,18,0.671,0.283,1,-14.415,1,0.0317,0.788,0.513,0.11,0.883,117.666,4,rhythm and blues
8,Castle Rock,Johnny Hodges,The Jazz Collection,4,167960,2013-08-18,1,0.694,0.486,8,-8.681,1,0.0322,0.858,0.0283,0.113,0.683,170.949,4,rhythm and blues
9,The Storm (01-16-52),Esther Phillips,1951-1952,37,187333,2003,20,0.542,0.467,3,-7.453,0,0.0478,0.948,0.000596,0.19,0.293,66.012,3,rhythm and blues
10,I Don't Hurt Anymore,Dinah Washington,Gold,4,191253,2007-01-01,1,0.527,0.466,9,-7.129,0,0.0293,0.841,0.0,0.177,0.538,78.333,4,rhythm and blues
