,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Protonic [ASOT 080] - Ronski Speed Remix,Armin van Buuren ASOT Radio,A State Of Trance Episode 080,2,507687,2003-01-16,4,0.508,0.938,10,-9.394,1,0.0566,0.00029,0.173,0.0912,0.434,138.845,4,show tune
1,Let The Light Shine In [ASOT 064] **Tune Of The Week** - Original Mix,Armin van Buuren ASOT Radio,A State Of Trance Episode 064,1,321312,2002-09-19,2,0.385,0.707,6,-12.172,1,0.0626,0.000331,0.639,0.409,0.0748,143.337,4,show tune
2,Out Of Sight [ASOT 060] **Tune Of The Week** - Original Mix,Armin van Buuren ASOT Radio,A State Of Trance Episode 060,2,387695,2002-08-22,2,0.502,0.969,1,-11.998,1,0.0446,5.61e-05,0.894,0.196,0.74,141.135,4,show tune
3,Circa-Forever [ASOT 046] **Tune Of The Week** - Iberia’s Mainroom Mix,Armin van Buuren ASOT Radio,A State Of Trance Episode 046,1,364374,2002-05-02,3,0.541,0.804,10,-11.499,0,0.045,0.00155,0.316,0.454,0.412,142.383,4,show tune
4,Monkey Forest [ASOT 042] **Tune Of The Week** - Original Mix,Armin van Buuren ASOT Radio,A State Of Trance Episode 042,1,275343,2002-04-04,2,0.539,0.948,7,-14.253,1,0.0856,0.0206,0.659,0.254,0.0365,142.97,4,show tune
5,Second Wave [ASOT 037] **Tune Of The Week** - Original Mix,Armin van Buuren ASOT Radio,A State Of Trance Episode 037,1,310039,2002-02-28,2,0.447,0.96,7,-10.811,1,0.0669,0.000245,0.791,0.329,0.175,142.439,4,show tune
6,Punk [ASOT 030] **Tune Of The Week** - Original Mix,Armin van Buuren ASOT Radio,A State Of Trance Episode 030,1,421125,2002-01-10,3,0.536,0.655,9,-12.172,0,0.039,0.000419,0.791,0.345,0.159,138.564,4,show tune
7,Lonely People [ASOT 029] **Tune Of The Week** - Original Mix,Armin van Buuren ASOT Radio,A State Of Trance Episode 029,3,329875,2002-01-03,3,0.572,0.889,2,-11.887,1,0.0388,0.00119,0.773,0.572,0.24,136.061,4,show tune
8,Godd [ASOT 026] **Tune Of The Week** - Original Mix,Armin van Buuren ASOT Radio,A State Of Trance Episode 026,1,233093,2001-12-13,2,0.64,0.899,10,-11.982,1,0.0684,1.34e-05,0.544,0.163,0.444,137.338,4,show tune
9,Awakening [ASOT 025] ** Tune Of The Week** - Original Mix,Armin van Buuren ASOT Radio,A State Of Trance Episode 025,2,388937,2001-12-06,2,0.563,0.933,1,-10.363,1,0.0469,4.14e-05,0.733,0.0941,0.317,140.522,4,show tune
