,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Turn Up the Quiet - The Cinematic Orchestra Remix,Heidi Vogel,Turn Up the Quiet,0,372722,2014-03-24,14,0.66,0.322,8,-13.002,0,0.0632,0.72,0.00297,0.119,0.376,135.95,4,seasonal
1,Novoum,Lehar,Mixmag Germany presents Lehar,0,496781,2016-02-05,11,0.711,0.65,2,-9.217,1,0.0486,0.0107,0.87,0.193,0.363,121.993,4,seasonal
2,Polarity - Danito & Athina Remix,Fausto Messina,Polarity,0,496000,2017-02-22,2,0.66,0.935,10,-8.075,0,0.0412,0.0157,0.894,0.141,0.587,120.0,4,seasonal
3,Iceland - Kydus Remix Extended,Flyboy,Iceland (Kydus Remix),0,378536,2017-03-24,2,0.827,0.944,0,-10.468,0,0.0548,0.00756,0.943,0.131,0.415,123.99,4,seasonal
4,Aconite,Solanca,Nightshade,24,271219,2019-05-09,3,0.652,0.522,8,-9.824,0,0.0376,0.0015,0.912,0.0763,0.0705,123.032,4,seasonal
5,Visions,Lane 8,Visions,56,261120,2019-01-31,1,0.516,0.888,8,-10.282,1,0.0328,0.182,0.766,0.0983,0.0394,124.989,4,seasonal
6,Ghost Voices (Lane 8 Remix),Lane 8,Ghost Voices (Lane 8 Remix),56,304390,2019-02-12,1,0.611,0.571,2,-9.441,1,0.0317,0.0195,0.815,0.0988,0.039,123.0,4,seasonal
7,The Fool,Jerro,The Fool,39,210258,2019-04-25,1,0.62,0.804,11,-8.847,1,0.0408,0.0758,0.668,0.112,0.0351,121.01,4,seasonal
8,Reflection,Ben Böhmer,Fliederregen / Reflection,49,300859,2019-03-14,2,0.756,0.517,1,-8.923,1,0.0355,0.000429,0.697,0.12,0.333,123.005,4,seasonal
9,Kenosis,Enamour,Run Away,35,282000,2019-04-11,3,0.672,0.714,7,-9.673,0,0.0375,0.0703,0.935,0.144,0.261,120.002,4,seasonal
10,Nightshade,Solanca,Nightshade,29,255737,2019-05-09,1,0.789,0.612,10,-10.232,0,0.0388,0.253,0.749,0.178,0.148,121.979,5,seasonal
11,U,Avoure,U,38,252942,2018-11-29,1,0.654,0.648,7,-6.788,0,0.0292,0.0381,0.716,0.113,0.318,122.988,4,seasonal
12,By My Side,Various Artists,"Root to Branch, Vol. 4",30,220000,2019-02-28,3,0.372,0.773,1,-9.145,0,0.0449,0.0143,0.854,0.464,0.0381,120.028,4,seasonal
13,Signal,Rylan Taggart,Signal,31,361967,2018-12-13,1,0.656,0.681,0,-9.787,0,0.0344,0.00364,0.842,0.0976,0.119,121.991,4,seasonal
14,Dimmed - Gorje Hewek & Izhevski Remix - Edit,Ryan Davis,Home EP (The Remixes),29,305001,2018-11-30,2,0.741,0.676,11,-10.485,1,0.0528,0.00855,0.879,0.398,0.37,120.01,4,seasonal
15,You're Not Alone - Solomun Remix,Agoria,You're Not Alone (Remixes),41,503082,2019-01-25,1,0.771,0.849,6,-7.241,0,0.0522,0.000847,0.768,0.0839,0.293,119.994,4,seasonal
16,Deja Vu - Luke Alessi Remix,Lastlings,Deja Vu (Luke Alessi Remix),36,421612,2019-02-08,1,0.73,0.701,1,-12.147,0,0.0433,0.228,0.886,0.0996,0.0586,122.017,4,seasonal
17,The Echo Forgets - DJ Tennis Remix,George FitzGerald,All That Must Be (Remixes),21,451171,2018-03-02,7,0.769,0.409,1,-12.925,0,0.0462,0.05,0.834,0.402,0.151,123.004,4,seasonal
18,Onward Only,Various Artists,Anjunadeep Explorations 08,23,417367,2019-01-18,9,0.79,0.699,11,-7.868,0,0.0477,0.0787,0.857,0.0723,0.135,120.004,4,seasonal
19,Far Away Place - Rampa Remix,Xinobi,Far Away Place (Rampa Remix),44,219330,2018-11-30,1,0.566,0.825,6,-9.751,0,0.0357,0.173,0.766,0.166,0.161,123.005,4,seasonal
20,Oscillate - Local Dialect Remix,André Sobota,Oscillate / 18th Hour [The Remixes],21,382439,2019-02-22,2,0.557,0.689,11,-9.826,0,0.0344,0.0316,0.855,0.0544,0.0721,123.007,4,seasonal
21,After All,Luttrell,Into Clouds,48,332459,2019-02-01,1,0.551,0.578,2,-11.133,0,0.0287,0.0113,0.69,0.21,0.185,121.967,4,seasonal
22,Hi,Kasper Koman,Hi / First Move / Loco Motif,21,483497,2018-12-21,1,0.761,0.728,0,-9.474,1,0.068,0.0752,0.27,0.061,0.297,120.01,4,seasonal
23,Brando - Original Mix,Jeremy Olander,Docks EP,24,487933,2019-02-22,2,0.645,0.443,7,-15.642,0,0.0362,0.27,0.896,0.0806,0.0384,120.973,3,seasonal
24,Ibrik,Bonobo,Ibrik,59,350054,2019-01-22,1,0.738,0.512,5,-12.924,0,0.0668,0.257,0.879,0.0824,0.0867,123.01,4,seasonal
25,Time,Solee,Life on Mars / Time,43,528550,2019-02-11,2,0.617,0.61,6,-8.793,1,0.0367,0.00584,0.902,0.0934,0.206,123.003,4,seasonal
26,After It All - Original Mix,Jon Gurd,After It All,12,313571,2019-03-08,4,0.786,0.684,11,-9.979,1,0.111,0.0718,0.861,0.111,0.368,124.001,4,seasonal
27,Sierra,Hidden Empire,Alexandria,25,376711,2019-03-01,3,0.803,0.761,9,-10.59,1,0.0691,0.000517,0.904,0.329,0.0315,124.998,4,seasonal
28,Bulgaria,Pig&Dan,Bulgaria,39,517619,2019-02-08,1,0.803,0.652,9,-9.666,1,0.0428,8.75e-06,0.897,0.122,0.0357,126.009,4,seasonal
29,Running Away,Icarus,This Must Be The Place,35,394838,2019-02-07,4,0.542,0.842,6,-7.778,1,0.0313,0.016,0.913,0.0877,0.245,124.0,4,seasonal
30,White Flowers,Various Artists,Kompakt: Total 18,19,474480,2018-08-24,3,0.657,0.531,10,-13.643,0,0.0375,0.000284,0.789,0.331,0.0706,122.0,4,seasonal
31,Burns - Lane 8 Morning Mix,George FitzGerald,Burns (Lane 8 Remixes),34,351147,2018-08-21,2,0.658,0.887,2,-9.546,1,0.0397,0.609,0.714,0.109,0.351,122.011,4,seasonal
