,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Lucid Dreams (Forget Me),Juice WRLD,Lucid Dreams (Forget Me),0,240013,2018-04-24,1,0.507,0.477,6,-10.087,0,0.171,0.346,0.0,0.328,0.223,83.939,4,world
1,All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,82,165819,2018-12-10,2,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4,world
2,Flaws And Sins,Juice WRLD,Death Race For Love,75,218348,2019-03-08,9,0.709,0.662,8,-4.55,1,0.0766,0.00966,0.0,0.108,0.439,150.046,4,world
3,Hear Me Calling,Juice WRLD,Hear Me Calling,54,189977,2019-03-01,1,0.648,0.701,10,-3.546,1,0.186,0.417,9.9e-06,0.103,0.588,177.943,4,world
4,Robbery,Juice WRLD,Robbery,47,240437,2019-02-13,1,0.669,0.683,2,-5.17,1,0.054,0.278,0.0,0.268,0.579,159.996,4,world
5,Armed And Dangerous,Juice WRLD,Armed And Dangerous,29,169999,2018-11-09,1,0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032,4,world
6,1400 / 999 Freestyle,Trippie Redd,A Love Letter To You 3,77,175954,2018-11-09,13,0.825,0.572,6,-6.067,0,0.0864,0.0079,0.0,0.113,0.568,141.991,4,world
7,Make It Back,Future,Future & Juice WRLD Present... WRLD ON DRUGS,66,102560,2018-10-19,5,0.75,0.387,1,-10.123,0,0.487,0.122,0.0,0.0993,0.739,143.019,4,world
8,Black & White,Juice WRLD,Goodbye & Good Riddance,78,186945,2018-12-10,6,0.776,0.736,7,-4.612,1,0.247,0.0802,0.0,0.159,0.233,147.946,4,world
9,I'm Still,Juice WRLD,Goodbye & Good Riddance,69,192859,2018-12-10,13,0.631,0.672,11,-4.583,1,0.0347,0.0811,0.0,0.154,0.282,119.948,4,world
10,Lean Wit Me,Juice WRLD,Goodbye & Good Riddance,4,175755,2018-05-23,4,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,4,world
11,Scared Of Love,Juice WRLD,Goodbye & Good Riddance,72,170538,2018-12-10,11,0.642,0.562,11,-4.869,0,0.0812,0.032,0.0,0.168,0.177,158.001,4,world
